,Acceptance,Asking price,Asking price per m²,Bathroom facilities,Building type,Energy label,Exterior space attached to the building,Facilities,Garden,Heating,Hot water,Insulation,Kind of house,Listed since,Living area,Location,Number of bath rooms,Number of rooms,Number of stories,Plot size,Specific,Status,Type of parking facilities,Type of roof,Volume in cubic meters,Year of construction,url,Annual meeting,Balcony/roof garden,Building insurance,CH boiler,External storage space,Located at,Maintenance plan,Periodic contribution,Provisional energy label,Registration with KvK,Reserve fund present,Shed / storage,Type apartment,VVE (Owners Association) contribution,Quality marks,Service charges,Type of garage,Other space inside the building,Garden location,Back garden
485,Available in consultation,695000,4696,Bath and toilet,Resale,,4,,Back garden,CH boiler,CH boiler,Partly double glazed,,7 ,148,In center and in residential district,2 bathrooms and 1 separate toilet,"5  ,4 ",2,,,Sold under reservation,Paid parking and resident's parking permits,,579,1910,https://www.funda.nl/en/koop/amsterdam/appartement-42688700-admiraal-de-ruijterweg-62-h,Yes,,Yes,"Gas-fired from 2018, in ownership",,1 ,Yes,Yes (€ 200.00 per month),G ,Yes,Yes,,Double ground-floor apartment (bel-etage (main floor)), 200.00  ,,,,5 ,Located at the north accessible via the rear,"48 m² (7,4 meter deep and 6,5 meter broad)"
486,Available in consultation,4000000,11834,"Bath, 3 showers and toilet",New,,122,,Sun terrace,Complete floor heating,,Completely insulated,,4 ,338,Alongside water,3 bathrooms and 1 separate toilet,"4  ,3 ",2,,,Available,Paid parking and parking garage,,912,2020,https://www.funda.nl/en/koop/amsterdam/appartement-42519932-kaap-verde-5765-bouwnr-65,,Balcony present,,,,7 ,,,A ,,,Storage box,Penthouse (apartment),,,,,,,
487,Available in consultation,4500000,18672,"Bath, 3 showers and 2 toilets",Resale,C  ,,Air conditioning and mechanical ventilation,Front garden and side garden,CH boiler,CH boiler,Double glazing,,6+ ,241,,3 bathrooms and 1 separate toilet,"4  ,3 ",1,,,Available,Parking garage,,624,1905,https://www.funda.nl/en/koop/amsterdam/appartement-42428507-van-eeghenstraat-180,Yes,,Yes,"Gas-fired combination boiler, in ownership",12,Grou ,Yes,Yes (€ 757.00 per month),,Yes,Yes,Built-in,Ground-floor apartment (apartment), 757.00  ,,,Parking place,,Located at the south,
488,Available in consultation,425000,6159,,Resale,C  ,4,Mechanical ventilation,,CH boiler,CH boiler,Double glazing,,2 ,69,"Alongside water, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"2  ,1 ",1,,Partly furnished with carpets and curtains,Under offer,Paid parking and resident's parking permits,Flat roof,219,1988,https://www.funda.nl/en/koop/amsterdam/appartement-42612911-henk-curierekade-60,Yes,Balcony present,Yes,"HR intergas Eco (gas-fired combination boiler from 2020, in ownership)",4,3 ,Yes,Yes,,Yes,Yes,Storage box,Upstairs apartment (apartment),,, 106  ,,,,
489,Available in consultation,475000,5163,Shower and toilet,Resale,C  ,,Electricity,Back garden,CH boiler,CH boiler,Double glazing,,2 ,92,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"4  ,3 ",2,,,Sold under reservation,Paid parking and resident's parking permits,Gable roof,320,1984,https://www.funda.nl/en/koop/amsterdam/appartement-42678726-hoekschewaardweg-212,Yes,,Yes,"Intergas (gas-fired combination boiler from 2019, in ownership)",7,,Yes,Yes,,Yes,Yes,Detached brick storage,Maisonnette (apartment),,, 166  ,,,Located at the south,"31 m² (7 meter deep and 4,4 meter broad)"
490,Available in consultation,275000,6250,,Resale,E  ,3,,,Communal central heating,Electrical boiler (rental),,,6 ,44,,,"2  ,1 ",1,,,Under offer,Resident's parking permits,,145,1961,https://www.funda.nl/en/koop/amsterdam/appartement-42695084-van-boshuizenstraat-481,Yes,Balcony present,Yes,,4,,Yes,Yes (€ 162.00 per month),,Yes,Yes,,Upstairs apartment (apartment), 162.00  ,,,,,,
491,Available in consultation,890000,8725,,Resale,,2,Electricity and running water,,CH boiler,CH boiler,Double glazing,,3 ,102,Alongside a quiet road and in residential district,1 separate toilet,"6  ,4 ",1,,,Sold under reservation,Paid parking,Flat roof covered with asphalt roofing,303,1914,https://www.funda.nl/en/koop/amsterdam/appartement-42544317-zocherstraat-39-2,Yes,,Yes,"Gas-fired combination boiler from 2021, in ownership",12,3 ,Yes,No,G ,Yes,Yes,Built-in,Upstairs apartment (apartment),,,,,,,
492,Available in consultation,385840,7717,,New,,4,"Optical fibre, elevator, mechanical ventilation and TV via cable",,District heating,District heating,,,4 ,50,"Alongside park, alongside a quiet road, in residential district and unobstructed surrounding view",1 separate toilet,"2  ,1 ",1,,,Available,,,150,2022,https://www.funda.nl/en/koop/amsterdam/appartement-42514328-de-jacob-stadsappartement-2-kamers-bouwnr-234-b7,,Balcony present,,,,3 ,,,A ,,,,Galleried apartment (apartment),,Woningborg garantiecertificaat,,,,,
493,Available in consultation,350000,3804,Shower,Resale,D  ,15,Electricity,,CH boiler,CH boiler,Roof insulation and double glazing,,2 ,92,"Alongside park, alongside a quiet road and In wooded surroundings",1 bathroom and 1 separate toilet,"4  ,3 ",1,,,Sold under reservation,Paid parking and parking garage,Flat roof covered with asphalt roofing,278,1969,https://www.funda.nl/en/koop/amsterdam/appartement-88039108-spinnekop-77,Yes,Balcony present,Yes,"Gas-fired from 2018, in ownership",4,10 ,Yes,Yes (€ 216.33 per month),,Yes,Yes,Detached wooden storage,Galleried apartment (apartment), 216.33  ,,,,,,
494,Available in consultation,590000,7284,Bath,Resale,C  ,5,Elevator and mechanical ventilation,,Communal central heating,Central facility,Double glazing and completely insulated,,"February 28, 2022",81,In residential district,1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Available,Paid parking and resident's parking permits,Flat roof covered with asphalt roofing,239,1998,https://www.funda.nl/en/koop/amsterdam/appartement-88078690-wibautstraat-176-b,Yes,Balcony present,Yes,,5,2 ,Yes,Yes (€ 267.78 per month),,Yes,Yes,Storage box,Residential property with shared street entrance (apartment), 267.78  ,,,,,,
495,Available in consultation,4950000,13983,2 baths,Resale,,69,"Electrical door, electricity and heating",Back garden and side garden,CH boiler and fireplace,CH boiler,Double glazing and completely insulated,,6+ ,354,Alongside a quiet road and in residential district,2 bathrooms and 1 separate toilet,"5  ,3 ",2,,,Available,Parking garage,Hipped roof,1252,1999,https://www.funda.nl/en/koop/amsterdam/appartement-41184841-prins-hendriklaan-31-a,No,,No,,44,Grou ,No,No,,No,No,Detached brick storage,Ground-floor apartment (apartment),,,,Garage,,Located at the southeast accessible via the rear,"300 m² (25,2 meter deep and 13,5 meter broad)"
496,Available in consultation,290000,9062,Shower and toilet,Resale,G 3.11  ,,Electricity,,CH boiler,CH boiler,,,"March 5, 2022",32,Alongside a quiet road,1 bathroom,"2  ,1 ",1,,Listed building (national monument),Available,"Paid parking, public parking and resident's parking permits",,108,1900,https://www.funda.nl/en/koop/amsterdam/appartement-42629052-van-reigersbergenstraat-41-1,Yes,,Yes,"Intergas (gas-fired from 2011, in ownership)",8,1 ,Yes,Yes (€ 102.97 per month),,Yes,Yes,Built-in,Upstairs apartment (apartment), 102.97  ,,,,,,
497,Available in consultation,495000,8839,,Resale,D  ,19,Mechanical ventilation and TV via cable,,CH boiler,CH boiler,Double glazing,,"March 4, 2022",56,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Under offer,"Paid parking, public parking and resident's parking permits",Flat roof covered with asphalt roofing,198,1934,https://www.funda.nl/en/koop/amsterdam/appartement-42627246-lekstraat-69-3,Yes,"Roof terrace present, balcony present and french balcony present",Yes,"Intergas (gas-fired combination boiler from 2012, in ownership)",,4 ,Yes,Yes (€ 135.00 per month),,Yes,Yes,,Upstairs apartment (apartment), 135.00  ,,,,3 ,,
498,Available in consultation,525000,9375,Shower and toilet,Resale,A  ,8,Electricity,,CH boiler and complete floor heating,CH boiler,Completely insulated,,3 ,56,In center and in residential district,1 bathroom,"3  ,2 ",4,,,Sold under reservation,,Flat roof covered with asphalt roofing,185,2014,https://www.funda.nl/en/koop/amsterdam/appartement-42601822-daniel-stalpertstraat-98-c,Yes,Balcony present,Yes,2014,2,2 ,Yes,Yes,,Yes,Yes,Storage box,Apartment with shared street entrance (apartment),,, 150  ,,1 ,,
499,Available in consultation,540000,4779,"Bath, shower and toilet",Resale,A  ,6,Electricity,Back garden,CH boiler,CH boiler,"Roof insulation, double glazing, insulated walls and floor insulation","Single-family home, row house","March 2, 2022",113,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"5  ,4 ",3,,,Available,"Paid parking, public parking and resident's parking permits",Flat roof,372,1997,https://www.funda.nl/en/koop/amsterdam/huis-42614019-singerstraat-24,,,,"Remeha (gas-fired from 2009, in ownership)",7,,,,,,,Attached wooden storage,,,,,,,Located at the south,"32 m² (7 meter deep and 4,5 meter broad)"
501,Available in consultation,585000,9141,Shower and toilet,Resale,C  ,,Skylight and TV via cable,,CH boiler,CH boiler,Partly double glazed,,2 ,64,"On navigable waterway, alongside water and in center",1 bathroom,"2  ,1 ",1,,Protected townscape or village view (permit needed for alterations),Available,Paid parking and resident's parking permits,Pyramid hip roof covered with asphalt roofing and roof tiles,229,1906,https://www.funda.nl/en/koop/amsterdam/appartement-42612360-recht-boomssloot-99-o,Yes,,Yes,"HR (gas-fired combination boiler from 2021, in ownership)",,Grou ,Yes,Yes,,Yes,Yes,,Ground-floor apartment (apartment),,, 227  ,,,,
502,Available in consultation,495000,8250,Bath and shower,Resale,E  ,4,"Skylight, mechanical ventilation and TV via cable",,CH boiler,CH boiler,Partly double glazed and floor insulation,,2 ,60,In residential district and unobstructed surrounding view,1 bathroom and 1 separate toilet,"4  ,2 ",1,,,Under offer,Paid parking and resident's parking permits,,191,1929,https://www.funda.nl/en/koop/amsterdam/appartement-42618241-tolstraat-190-ii,Yes,Balcony present,Yes,"Vaillant (gas-fired combination boiler from 2005, in ownership)",9,3 ,Yes,Yes (€ 100.00 per month),,Yes,Yes,,Mezzanine (apartment), 100.00  ,,,,,,
503,Available in consultation,325000,6500,Shower and toilet,Resale,C  ,20,,,CH boiler,CH boiler,Roof insulation and double glazing,,6 ,50,"In center, in residential district and unobstructed surrounding view",1 bathroom,"2  ,1 ",1,,With carpets and curtains,Sold under reservation,Paid parking and resident's parking permits,Flat roof,155,1988,https://www.funda.nl/en/koop/amsterdam/appartement-42683064-riouwstraat-55-e,Yes,Balcony present,Yes,"Remeha (gas-fired from 2007, in ownership)",4,4 ,Yes,Yes (€ 103.89 per month),,Yes,Yes,Storage box,Upstairs apartment (apartment), 103.89  ,, 104  ,,,,
504,Available in consultation,695000,8373,"Bath, shower and toilet",Resale,E  ,,,,CH boiler,CH boiler,Partly double glazed,,2 ,83,In center,1 bathroom,"3  ,2 ",3,,,Under offer,"Paid parking, public parking and resident's parking permits",Gable roof,290,1928,https://www.funda.nl/en/koop/amsterdam/appartement-42617965-tweede-tuindwarsstraat-7-i,Yes,,Yes,"Gas-fired combination boiler, in ownership",,1 ,No,No,,Yes,No,,Upstairs apartment (apartment), 138.48  ,,,,,,
505,Available in consultation,550000,7333,Bath,Resale,A  ,,"Elevator, mechanical ventilation, passive ventilation system and TV via cable",,CH boiler,CH boiler,Double glazing,,"March 12, 2022",75,In center and in residential district,1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Available,Parking garage,,239,2012,https://www.funda.nl/en/koop/amsterdam/appartement-42638248-haarlemmerplein-24-b,Yes,,Yes,,5,3 ,No,Yes (€ 178.65 per month),,Yes,No,Built-in,Mezzanine (apartment), 178.65  ,,,Underground parking and parking place,,,
507,Available in consultation,1075000,6515,Bath and toilet,New,A  ,14,Electricity,Sun terrace,"Complete floor heating, heat recovery unit and heat pump",Solar boiler and solar collectors,Completely insulated,,6+ ,165,,1 bathroom and 1 separate toilet,"5  ,3 ",2,,,Available,"Paid parking, public parking and parking garage",Flat roof covered with asphalt roofing,480,2020,https://www.funda.nl/en/koop/amsterdam/appartement-42462360-tuinwoning-bouwnr-255,,Roof terrace present,,,,2 ,,,,,,Attached brick storage,Upstairs apartment (apartment),,,,Underground parking,,Located at the east,
508,Available in consultation,895000,9227,Bath and toilet,Resale,D  ,5,TV via cable,Back garden,CH boiler,CH boiler,Double glazing and floor insulation,,2 ,97,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"5  ,4 ",2,,Listed building (national monument),Available,Paid parking and resident's parking permits,,313,1898,https://www.funda.nl/en/koop/amsterdam/appartement-42611721-trompenburgstraat-23-h,Yes,Balcony present,Yes,"Intergas (gas-fired combination boiler from 2009, in ownership)",5,Grou ,Yes,No,,Yes,No,Detached wooden storage,Ground-floor apartment (apartment),,, 80  ,,,Located at the south,"44 m² (8,63 meter deep and 5,09 meter broad)"
509,Available in consultation,400000,5970,Shower,Resale,D 1.80  ,5,Mechanical ventilation and TV via cable,,CH boiler,CH boiler,"Roof insulation, double glazing and insulated walls",,3 ,67,In residential district,1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Sold under reservation,Paid parking and resident's parking permits,Flat roof covered with asphalt roofing,218,1963,https://www.funda.nl/en/koop/amsterdam/appartement-42544832-schierstins-37,Yes,Balcony present,Yes,"Intergas (gas-fired combination boiler from 2014, in ownership)",5,3 ,Yes,Yes (€ 113.00 per month),,Yes,Yes,Storage box,Upstairs apartment, 113.00  ,,,,1 ,,
510,Available in consultation,475000,5398,Shower and toilet,Resale,D  ,,TV via cable,Back garden,CH boiler,CH boiler,"Roof insulation, double glazing and insulated walls","Single-family home, row house","March 5, 2022",88,In residential district and freestanding location,1 bathroom,"3  ,2 ",2,90,,Available,Paid parking,Flat roof covered with asphalt roofing,334,1959,https://www.funda.nl/en/koop/amsterdam/huis-42629920-ward-bingleystraat-77,,,,"Intergas (gas-fired combination boiler from 2020, in ownership)",,,,,,,,Built-in,,,,,,,Located at the south accessible via the rear,"35 m² (8,2 meter deep and 4,26 meter broad)"
511,Available in consultation,1400000,8284,"Bath, 2 showers and toilet",New,,27,,,Complete floor heating,,Completely insulated,,4 ,169,Alongside water,2 bathrooms and 1 separate toilet,"5  ,4 ",1,,,Available,Paid parking and parking garage,,456,2020,https://www.funda.nl/en/koop/amsterdam/appartement-42519919-kaap-verde-5152-bouwnr-52,,Balcony present,,,,1 ,,,A ,,,Storage box,Mezzanine (apartment),,,,,,,
512,Available immediately,260000,4000,Shower and toilet,Resale,C 1.51  ,10,Electricity,,District heating,Central facility,Double glazing,,"March 11, 2022",65,"Alongside a quiet road, in residential district and unobstructed surrounding view",1 bathroom,"2  ,1 ",1,,,Available,"Paid parking, public parking and parking garage",Flat roof covered with asphalt roofing,172,1970,https://www.funda.nl/en/koop/amsterdam/appartement-42639880-hogevecht-119,Yes,Balcony present,Yes,,2,7 ,Yes,Yes (€ 155.01 per month),,Yes,Yes,Storage box,Galleried apartment (apartment), 155.01  ,Energie Prestatie Advies,,Parking place,1 ,,
513,Available in consultation,1100000,8088,Toilet,Resale,,7,Passive ventilation system and TV via cable,,CH boiler,CH boiler,,"Desirable residence/villa, corner house",6 ,136,In center and in residential district,1 bathroom and 3 separate toilets,"7  ,4 ",5,36,Monumental building,Available,"Paid parking, public parking and resident's parking permits",Gable roof covered with roof tiles,504,1732,https://www.funda.nl/en/koop/amsterdam/huis-42695831-buiten-brouwersstraat-2-b,,Roof terrace present,,"Remeha (gas-fired combination boiler from 2010, in ownership)",,,,,F ,,,,,,,,,4 ,,
515,Available in consultation,295000,4275,Shower,Resale,D 1.69  ,7,Elevator,,Communal central heating,Central facility,Double glazing,,2 ,69,Alongside a quiet road,1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Under offer,,Flat roof,210,1961,https://www.funda.nl/en/koop/amsterdam/appartement-88075796-boutenburg-213,Yes,Balcony present,Yes,,5,7 ,Yes,Yes,,Yes,Yes,Storage box,Galleried apartment,,, 209  ,,,,
516,Available in consultation,920000,6715,Shower and toilet,Resale,,13,Electricity and running water,,Complete floor heating,,Completely insulated,,4 ,137,Unobstructed surrounding view,2 bathrooms and 1 separate toilet,"3  ,2 ",1,,,Available,,Flat roof covered with asphalt roofing,378,2020,https://www.funda.nl/en/koop/amsterdam/appartement-42606520-revaleiland-88,No,Balcony present,No,,,4 ,No,Yes (€ 245.96 per month),,No,No,Built-in,Penthouse (apartment), 245.96  ,, 246  ,Underground parking,3 ,,
517,Available in consultation,795000,6913,"Bath, shower and toilet",Resale,B  ,49,Electrical door,Sun terrace,CH boiler,CH boiler,Double glazing and completely insulated,,"March 8, 2022",115,Unobstructed surrounding view,1 bathroom and 1 separate toilet,"4  ,2 ",2,,,Available,,Flat roof covered with asphalt roofing,388,2002,https://www.funda.nl/en/koop/amsterdam/appartement-42621360-timorplein-4-b,Yes,Roof terrace present and balcony present,Yes,Intergas Kompakt HR (gas-fired combination boiler from 2002),5,3 ,Yes,Yes (€ 217.27 per month),,Yes,Yes,Storage box,Upstairs apartment (double upstairs apartment), 217.27  ,,,Built-in and parking place,,Located at the south,
518,Available in consultation,315000,8514,Shower and toilet,Resale,F  ,4,Electricity and running water,,CH boiler,CH boiler,Double glazing,,"March 1, 2022",37,In residential district and unobstructed surrounding view,1 bathroom,"2  ,1 ",1,,,Under offer,Paid parking and public parking,Flat roof,140,1961,https://www.funda.nl/en/koop/amsterdam/appartement-42625062-president-kennedylaan-38-iv,Yes,Balcony present,Yes,"Remeha Tzerra (gas-fired combination boiler from 2019, in ownership)",,4 ,Yes,Yes (€ 78.20 per month),,Yes,Yes,Attached brick storage,Upstairs apartment (apartment), 78.20  ,,,,4 ,,
519,Available in consultation,549000,9000,Shower and toilet,Resale,A  ,6,Electricity,,District heating,Central facility,Completely insulated,,"March 2, 2022",61,Alongside water and in residential district,1 bathroom and 1 separate toilet,"3  ,2 ",5,,,Available,Paid parking and parking garage,,195,2019,https://www.funda.nl/en/koop/amsterdam/appartement-42625197-revaleiland-64,No,Balcony present,No,,,3 ,No,No,,No,No,Storage box,Upstairs apartment (apartment),,GIW Waarborgcertificate, 170  ,Underground parking and parking place,5 ,,
520,Available in consultation,574500,5745,Bath and 2 showers,Resale,F 2.66  ,8,,,,Central facility,No insulation,,3 ,100,"On the edge of a forest, sheltered location and unobstructed surrounding view",2 bathrooms and 1 separate toilet,"3  ,2 ",1,,,Under offer,,Flat roof,250,1972,https://www.funda.nl/en/koop/amsterdam/appartement-42520403-nachtwachtlaan-164,Yes,,Yes,,19,7 ,Yes,Yes (€ 258.00 per month),,Yes,Yes,Storage box,Upstairs apartment (apartment), 258.00  ,, 258  ,Underground parking,,,
521,Available in consultation,324000,6480,,New,,4,"Balanced ventilation system, optical fibre, elevator, TV via cable and solar panels",,District heating,District heating,Triple glazed and completely insulated,,4 ,50,Alongside a quiet road and in residential district,,"2  ,1 ",1,,,Under option,,,150,2022,https://www.funda.nl/en/koop/amsterdam/appartement-42600128-middeldure-stadsappartementen-2-kamers-bouwnr-244,,Balcony present,,,,3 ,,,A ,,,,Galleried apartment (apartment),,,,,,,
522,Available in consultation,392500,5858,Shower,Resale,D  ,4,Electricity,,CH boiler,CH boiler,Partly double glazed,,4 ,67,"Alongside a quiet road, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"2  ,1 ",3,,,Under offer,"Paid parking, public parking and resident's parking permits",Flat roof covered with asphalt roofing,220,,https://www.funda.nl/en/koop/amsterdam/appartement-42599050-brittenburg-29,Yes,Balcony present,Yes,"Gas-fired, in ownership",6,1 ,Yes,Yes,,Yes,Yes,Storage box,Upstairs apartment (apartment),,, 157  ,,,,
523,Available in consultation,1200000,5882,"Bath, shower and 2 toilets",Resale,B  ,,Electricity,"Back garden, patio/atrium and side garden",CH boiler,CH boiler,Double glazing and energy efficient window,"Single-family home, corner house (patio residence)","March 8, 2022",204,"Alongside a quiet road, in residential district and unobstructed surrounding view",2 bathrooms and 1 separate toilet,"6  ,4 ",4,229,,Available,Parking on private property and public parking,Flat roof,811,1975,https://www.funda.nl/en/koop/amsterdam/huis-42623869-bosplaat-8-pp,,,,"ATAG (gas-fired combination boiler from 2016, in ownership)",17,,,,,,,,,,,,Garage and detached brick garage,4 ,Located at the south accessible via the rear,
524,Available in consultation,1250000,8929,Bath and shower,Resale,,1,Electricity,,CH boiler and partial floor heating,CH boiler,Double glazing,,"March 4, 2022",140,"Alongside a quiet road, sheltered location, in center, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"5  ,4 ",1,,,Available,"Paid parking, public parking and resident's parking permits",Flat roof covered with asphalt roofing,389,1920,https://www.funda.nl/en/koop/amsterdam/appartement-42628011-hondecoeterstraat-8-c,Yes,Balcony present,Yes,"Gas-fired combination boiler, in ownership",2,3 ,Yes,Yes,,Yes,Yes,Built-in,Upstairs apartment (apartment),,,,,,,
525,Available in consultation,525000,7095,,Resale,A  ,7,Electricity,,CH boiler,CH boiler,"Double glazing, energy efficient window and completely insulated",,2 ,74,"Alongside a quiet road, sheltered location and in center",,"3  ,2 ",1,,,Sold under reservation,"Paid parking, public parking and resident's parking permits",Flat roof covered with asphalt roofing,243,2017,https://www.funda.nl/en/koop/amsterdam/appartement-42664209-sumatrastraat-172-a,Yes,,Yes,"Intergas (gas-fired combination boiler from 2017, in ownership)",5,2 ,Yes,Yes (€ 112.00 per month),,Yes,Yes,Built-in,Upstairs apartment (apartment), 112.00  ,,,,,,
526,Available in consultation,385000,4010,Shower and toilet,Resale,,4,,Back garden and front garden,CH boiler,CH boiler,Double glazing,"Single-family home, row house",5 ,96,"Alongside a quiet road, In wooded surroundings, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"4  ,3 ",2,125,,Under offer,Public parking,Flat roof covered with asphalt roofing,325,1983,https://www.funda.nl/en/koop/amsterdam/huis-42690201-schaikstraat-7,,,,"Gas-fired, in ownership",3,,,,C ,,,Attached wooden storage,,,,,,,Located at the east accessible via the rear,"51 m² (10 meter deep and 5,1 meter broad)"
527,Available in consultation,768000,5297,,New,,6,Electricity,,Complete floor heating and heat recovery unit,Central facility,Completely insulated,,"March 10, 2022",145,"Alongside a quiet road, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"3  ,1 ",2,,Renovation project,Available,Paid parking and parking garage,Flat roof covered with asphalt roofing,377,2022,https://www.funda.nl/en/koop/amsterdam/appartement-42637975-wijnsilostraat-175,,Balcony present,,,,1 ,,,,,,Built-in,Maisonnette,,, 328  ,Underground parking and parking place,,,
528,Available in consultation,725000,7108,Toilet,Resale,D  ,30,Mechanical ventilation and TV via cable,Sun terrace,CH boiler,CH boiler,Roof insulation and double glazing,,"March 1, 2022",102,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"6  ,3 ",2,,Protected townscape or village view (permit needed for alterations),Under offer,Paid parking,Flat roof covered with asphalt roofing,340,1934,https://www.funda.nl/en/koop/amsterdam/appartement-42614380-boterdiepstraat-28-2,Yes,Roof terrace present and balcony present,Yes,"Remeha (gas-fired combination boiler from 2006, in ownership)",,3 ,Yes,Yes,,Yes,Yes,,Upstairs apartment (double upstairs apartment),,, 79  ,,,,
529,Available in consultation,435000,7016,Shower,Resale,C  ,46,Mechanical ventilation and TV via cable,,CH boiler,CH boiler,Double glazing,,3 ,62,"Alongside a quiet road, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Sold under reservation,Public parking and resident's parking permits,Flat roof covered with asphalt roofing,166,1940,https://www.funda.nl/en/koop/amsterdam/appartement-42531081-grianestraat-8-d,Yes,Roof terrace present and balcony present,Yes,"Gas-fired from 2007, in ownership",9,4 ,Yes,Yes (€ 92.00 per month),,Yes,Yes,Built-in,Upstairs apartment (apartment), 92.00  ,,,,,,
530,Available in consultation,300000,6250,Shower,Resale,,5,Electricity,,CH boiler,CH boiler,No insulation,,5 ,48,In residential district,1 bathroom and 1 separate toilet,"4  ,3 ",1,,,Sold under reservation,"Paid parking, public parking and resident's parking permits",Flat roof,166,,https://www.funda.nl/en/koop/amsterdam/appartement-42691543-doggersbankstraat-6-3,Yes,Balcony present,Yes,"AWB (gas-fired combination boiler from 2005, in ownership)",7,4 ,Yes,Yes (€ 118.08 per month),G ,Yes,Yes,Built-in,Upstairs apartment (apartment), 118.08  ,,,,,,
531,Available in consultation,465000,6039,,Resale,C  ,10,,,CH boiler,CH boiler,Mostly double glazed and floor insulation,,3 ,77,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"3  ,2 ",2,,,Sold under reservation,Paid parking and resident's parking permits,,301,1924,https://www.funda.nl/en/koop/amsterdam/appartement-42537281-veeteeltstraat-70-b,Yes,Balcony present,Yes,"Intergas (gas-fired combination boiler from 2010, in ownership)",4,2 ,Yes,Yes (€ 205.00 per month),,Yes,Yes,Detached brick storage,Upstairs apartment (double upstairs apartment), 205.00  ,,,,3 ,,
532,Available in consultation,540000,5094,Toilet,Resale,B  ,,Electricity,Back garden,CH boiler,CH boiler,Completely insulated,"Single-family home, row house",4 ,106,Alongside a quiet road and in residential district,2 bathrooms and 1 separate toilet,"4  ,3 ",3,97,,Sold under reservation,Public parking,,342,1998,https://www.funda.nl/en/koop/amsterdam/huis-42607384-pond-sterlinglaan-110,,,,"Intergas (gas-fired combination boiler from 2009, in ownership)",5,,,,,,,Detached wooden storage,,,Energie Prestatie Advies,,,,Located at the west accessible via the rear,"46 m² (10,25 meter deep and 4,5 meter broad)"
533,Available in consultation,539000,7384,Toilet,Resale,C  ,12,"Air conditioning, passive ventilation system and TV via cable",,CH boiler,CH boiler,Double glazing,,4 ,73,"Alongside a quiet road, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Sold under reservation,Resident's parking permits,,244,,https://www.funda.nl/en/koop/amsterdam/appartement-42607018-wodanstraat-12-1,No,Balcony present,No,"Kombi Kompakt HRE 28/24 ( combination boiler from 2008, in ownership)",,,Yes,Yes (€ 75.00 per month),,Yes,Yes,,Mezzanine (apartment), 75.00  ,, 75  ,,1 ,,
534,Available in consultation,2250000,8721,"2 baths, shower and 2 toilets",Resale,F  ,14,,Back garden,CH boiler,CH boiler,,"Desirable residence/villa, row house",2 ,258,,3 bathrooms and 2 separate toilets,"9  ,6 ",6,112,,Available,"Paid parking, public parking and resident's parking permits",,932,1905,https://www.funda.nl/en/koop/amsterdam/huis-42657340-pieter-cornelisz-hooftstraat-141,,Balcony present,,"Remeha calenta (gas-fired from 2020, to rent)",,,,,,,,,,,,,,,Located at the southeast accessible via the rear,"42 m² (8,4 meter deep and 5 meter broad)"
535,Available in consultation,299000,4271,,Resale,C 1.53  ,6,Electricity,,CH boiler,CH boiler,Roof insulation and partly double glazed,,2 ,70,"Alongside park, alongside a quiet road, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"2  ,1 ",9,,,Sold under reservation,Public parking and parking garage,Combination roof,215,1976,https://www.funda.nl/en/koop/amsterdam/appartement-42611302-leksmondhof-216,Yes,Balcony present,Yes,"Gas-fired combination boiler from 2010, in ownership",3,4 ,Yes,Yes (€ 198.21 per month),,Yes,Yes,Storage box,Apartment with shared street entrance (apartment), 198.21  ,,,Parking place,,,
536,Available in consultation,750000,8721,Shower,Resale,A  ,6,"Smart home, elevator, mechanical ventilation, TV via cable and solar panels",,"District heating, partial floor heating and complete floor heating",District heating,"Double glazing, insulated walls and floor insulation",,4 ,86,"Alongside park, alongside a quiet road, on navigable waterway, alongside water, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Sold under reservation,Parking garage,Flat roof,285,2018,https://www.funda.nl/en/koop/amsterdam/appartement-42693367-memeleiland-10,Yes,Balcony present,Yes,,,3 ,Yes,Yes,,Yes,No,Built-in,Upstairs apartment (apartment),,SWK garantiecertificaat,,"Built-in, underground parking and parking place",,,
