,Annual meeting,Asking price,Asking price per m²,Balcony/roof garden,Bathroom facilities,Building insurance,Building type,CH boiler,Energy label,Exterior space attached to the building,Facilities,Heating,Hot water,Insulation,Listed since,Living area,Located at,Location,Maintenance plan,Number of bath rooms,Number of rooms,Number of stories,Periodic contribution,Registration with KvK,Reserve fund present,Specific,Status,Type apartment,Type of parking facilities,Volume in cubic meters,Year of construction,Back garden,Garden,Garden location,Kind of house,Other space inside the building,Type of garage,External storage space,Provisional energy label,Shed / storage,VVE (Owners Association) contribution,Type of roof,Plot size
243,,429500,3254,,"Bath, shower and toilet",,Resale property,"Gas-fired combination boiler from 2014, in ownership",A  ,,Electricity,CH boiler,CH boiler,Double glazing,4 ,132,,"Alongside a quiet road, sheltered location and in residential district",,1 bathroom and 1 separate toilet,5 rooms (4 bedrooms),3,,,,,Sold under reservation,,Public parking,440,1995,"0,01 meter deep and 0,01 meter broad",Back garden and front garden,Located at the northeast accessible via the rear,"Single-family home, row house",,,7,,Detached wooden storage,,Flat roof covered with asphalt roofing,145
244,Yes,245000,3062,Balcony present,,Yes,Resale property,,C  ,11,,District heating,Central facility,Double glazing,"March 2, 2022",80,1 ,,Yes,1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 291.11 per month),Yes,Yes,,Available,Apartment with shared street entrance (apartment),Public parking,260,1978,,,,,,,7,,Storage box, 291.11  ,,
245,No,329000,3225,Balcony present,2 showers and toilet,No,Resale property,Gas-fired combination boiler from 2005,F  ,19,,CH boiler,CH boiler,Partly double glazed,3 ,102,3 ,Alongside busy road and in residential district,No,2 bathrooms and 1 separate toilet,5 rooms (3 bedrooms),2,Yes (€ 75.00 per month),No,Yes,,Available,Residential property with shared street entrance,Paid parking and public parking,414,1932,,,,,8 ,,,,, 75.00  ,Gable roof covered with roof tiles,
246,,387500,3027,,Bath and shower,,Resale property,,B 1.21  ,9,,District heating,Central facility,"Roof insulation, double glazing, insulated walls and floor insulation",5 ,128,,In residential district,,1 bathroom,5 rooms (4 bedrooms),3,,,,,Sold under reservation,,Public parking,280,2002,,Back garden,,"Single-family home, row house",,Parking place,,,Detached wooden storage,,,121
247,Yes,450000,5114,Balcony present,,Yes,Resale property,,A  ,,,CH boiler,CH boiler,Double glazing,2 ,88,2 ,Alongside a quiet road and in residential district,Yes,1 separate toilet,2 rooms (1 bedroom),1,Yes,Yes,Yes,,Available,Upstairs apartment (apartment),,246,1906,,,,,,,,,,,,
248,Yes,250000,3125,Balcony present,Shower,Yes,Resale property,"Bosch (gas-fired combination boiler from 2011, in ownership)",D  ,7,TV via cable,CH boiler,CH boiler,Partly double glazed,4 ,80,1 ,Alongside busy road and unobstructed surrounding view,Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 75.27 per month),Yes,Yes,,Sold under reservation,Apartment with shared street entrance (apartment with open entrance to street),Public parking and resident's parking permits,264,1937,,,,,1 ,,2,,Detached brick storage, 75.27  ,Flat roof,
249,,450000,3103,,"Bath, shower and toilet",,Resale property,"Intergas (gas-fired combination boiler from 2002, in ownership)",A  ,,Electricity,CH boiler,CH boiler,Double glazing,3 ,145,,Alongside a quiet road and in residential district,,1 bathroom and 1 separate toilet,5 rooms (4 bedrooms),3,,,,,Available,,Parking on private property and public parking,478,2002,"49 m² (10,62 meter deep and 4,61 meter broad)",Back garden,Located at the northwest accessible via the rear,"Single-family home, row house",,Parking place,10,,Detached wooden storage,,Flat roof covered with asphalt roofing,115
250,,739000,5132,,Toilet,,Resale property,"Remeha Quinta (gas-fired combination boiler from 2007, in ownership)",B  ,,Mechanical ventilation,CH boiler,Electrical boiler,Double glazing,6 ,144,,Alongside a quiet road and in residential district,,1 bathroom and 1 separate toilet,5 rooms (4 bedrooms),3,,,,,Available,,Public parking,510,1992,"50 m² (8,8 meter deep and 5,63 meter broad)",Back garden and front garden,Located at the northwest accessible via the rear,"Single-family home, row house",,,6,,Detached wooden storage,,Gable roof covered with roof tiles,152
251,Yes,285000,3958,,Bath,Yes,Resale property,"Remeha Avanta 28c (gas-fired combination boiler from 2011, in ownership)",E  ,8,TV via cable,CH boiler,CH boiler,Double glazing,3 ,72,3 ,In residential district and unobstructed surrounding view,No,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 80.00 per month),No,Yes,Protected townscape or village view (permit needed for alterations) and partly furnished with carpets and curtains,Under offer,Upstairs apartment (apartment with open entrance to street),"Paid parking, public parking and resident's parking permits",285,1912,,,,,,,1,,, 80.00  ,Flat roof covered with asphalt roofing,
252,No,479000,3959,Balcony present,Bath,Yes,Resale property,"Remeha (gas-fired combination boiler from 2014, in ownership)",C  ,9,,CH boiler,CH boiler,Double glazing and energy efficient window,"March 2, 2022",121,2 ,Alongside a quiet road and in residential district,No,1 bathroom and 2 separate toilets,6 rooms (4 bedrooms),2,No,Yes,No,Protected townscape or village view (permit needed for alterations),Available,Upstairs apartment (double upstairs apartment),Paid parking and resident's parking permits,444,,,,,,,,,,,,Flat roof covered with asphalt roofing,
253,,469000,3722,,Shower and 2 toilets,,Resale property,"Intergas (gas-fired combination boiler from 2005, in ownership)",A+  ,,"Skylight, mechanical ventilation and TV via cable",CH boiler,CH boiler,"Roof insulation, double glazing, insulated walls, floor insulation and completely insulated","March 2, 2022",126,,In residential district,,2 bathrooms and 1 separate toilet,5 rooms (4 bedrooms),2,,,,Partly furnished with carpets and curtains,Available,,Public parking,436,2005,"44 m² (10 meter deep and 5,3 meter broad)",Back garden and front garden,Located at the northwest accessible via the rear,"Single-family home, row house",,,10,,Detached wooden storage,,,149
254,No,425000,3427,Balcony present,Shower,Yes,Resale property,,G  ,3,,Gas heaters,Gas water heater (rental),,"March 9, 2022",124,Grou ,,No,1 bathroom and 1 separate toilet,5 rooms (4 bedrooms),2,No,No,No,Renovation project,Available,Ground-floor + upstairs apartment,,473,1915,"0,01 meter deep and 0,01 meter broad",Back garden,,,,,,,Detached wooden storage, 26.34  ,,
256,No,239500,3110,Balcony present,Shower,Yes,Resale property,"Remeha Tzerra (gas-fired combination boiler from 2017, in ownership)",E  ,4,,CH boiler,CH boiler,,"March 5, 2022",77,3 ,Alongside a quiet road and in residential district,No,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 45.00 per month),Yes,Yes,,Under offer,Residential property with shared street entrance (apartment with open entrance to street),"Paid parking, public parking and resident's parking permits",275,1929,,,,,,,,,, 45.00  ,,
257,Yes,310000,3647,Balcony present,Shower,Yes,Resale property,"Remeha avanta (gas-fired combination boiler from 2012, in ownership)",F  ,4,Mechanical ventilation and TV via cable,CH boiler and gas heater,CH boiler,Double glazing,"March 8, 2022",85,3 ,,No,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 125.00 per month),Yes,Yes,,Available,Upstairs apartment (apartment),Paid parking and resident's parking permits,286,1927,,,,,,,,,, 125.00  ,Flat roof covered with asphalt roofing,
258,,547500,3626,French balcony present,,,Resale property,"Remeha (gas-fired combination boiler from 2018, in ownership)",,,Electricity,CH boiler and partial floor heating,CH boiler,Double glazing,2 ,151,,"Alongside a quiet road, in residential district and unobstructed surrounding view",,2 separate toilets,5 rooms (4 bedrooms),3,,,,,Under offer,,Public parking,420,2001,"52 m² (8 meter deep and 6,5 meter broad)",Back garden and front garden,Located at the southeast accessible via the rear,"Single-family home, corner house",,,15,B ,Detached wooden storage,,,165
259,,525000,3241,,Bath and shower,,Resale property,"Nefit ( combination boiler from 1997, in ownership)",C  ,,Mechanical ventilation,CH boiler,CH boiler,"Roof insulation, double glazing, energy efficient window and insulated walls","March 12, 2022",162,,"Alongside a quiet road, sheltered location and in residential district",,1 bathroom and 2 separate toilets,6 rooms (4 bedrooms),3,,,,,Available,,Public parking,630,1974,"74 m² (11,7 meter deep and 6,3 meter broad)",Back garden and front garden,Located at the northeast accessible via the rear,"Single-family home, row house",9 ,,,,,,Combination roof covered with asphalt roofing and roof tiles,164
260,,469000,3975,Balcony present and french balcony present,Bath and toilet,,Resale property,"Remeha Tzerra (gas-fired combination boiler from 2017, in ownership)",A  ,10,Electricity,CH boiler,CH boiler,Double glazing and completely insulated,"March 10, 2022",118,,In residential district and unobstructed surrounding view,,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),3,,,,,Available,,Public parking,444,2008,"60 m² (10,8 meter deep and 5,6 meter broad)",Back garden and front garden,Located at the southeast accessible via the rear,"Single-family home, corner house",,,5,,Detached wooden storage,,Gable roof,128
261,Yes,350000,3763,,,Yes,Resale property,,A++  ,15,Mechanical ventilation and solar panels,Electric heating and complete floor heating,Electrical boiler,"Double glazing, energy efficient window, insulated walls, floor insulation and completely insulated",2 ,93,Grou ,,No,,4 rooms (3 bedrooms),1,Yes (€ 74.78 per month),Yes,Yes,,Available,Ground-floor apartment (apartment),Paid parking and public parking,303,1940,"48 m² (7,1 meter deep and 6,71 meter broad)",Back garden and front garden,Located at the northeast,,,,,,, 74.78  ,Flat roof covered with asphalt roofing,
262,,350000,4375,,,,Resale property,,,,,Gas heaters,Gas water heater,,2 ,80,,In center and in residential district,,,3 rooms (2 bedrooms),2,,,,Protected townscape or village view (permit needed for alterations) and renovation project,Available,,"Paid parking, public parking, parking garage and resident's parking permits",293,1906,24 m² (6 meter deep and 4 meter broad),Back garden,,"Single-family home, row house",,,,F ,Detached wooden storage,,Gable roof covered with roof tiles,50
263,No,195000,4149,,Bath and shower,Yes,Resale property,"Remeha Avanta (gas-fired combination boiler from 2020, in ownership)",E  ,,,CH boiler,CH boiler,Double glazing,6 ,47,Grou ,"Alongside a quiet road, in center and in residential district",No,1 bathroom and 1 separate toilet,2 rooms (1 bedroom),1,Yes (€ 102.00 per month),Yes,Yes,,Under offer,Ground-floor apartment (apartment with open entrance to street),Public parking,150,1926,"8,72 meter deep and 0,04 meter broad",Back garden,Located at the west,,,,15,,Detached brick storage, 102.00  ,Flat roof covered with asphalt roofing,
264,,670000,4408,Roof terrace present,"Bath, shower and 2 toilets",,Resale property,"Gas-fired combination boiler from 2019, in ownership",F  ,,Electricity,CH boiler,CH boiler,Roof insulation and double glazing,"March 9, 2022",152,,On the edge of a forest and unobstructed surrounding view,,2 bathrooms,7 rooms (6 bedrooms),3,,,,,Available,,Public parking,535,1925,"26,3 meter deep and 10,5 meter broad",Back garden and front garden,Located at the northwest accessible via the rear,"Single-family home, corner house",,,5,,Attached wooden storage,,Combination roof covered with asphalt roofing and roof tiles,282
265,Yes,279000,2876,Balcony present,Toilet,Yes,Resale property,"Bosch (gas-fired combination boiler from 2010, in ownership)",B  ,9,Mechanical ventilation and TV via cable,CH boiler,CH boiler,Insulated walls,3 ,97,5 ,In residential district and unobstructed surrounding view,Yes,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),2,Yes (€ 147.98 per month),Yes,Yes,,Under offer,Maisonnette (apartment),Paid parking and resident's parking permits,303,1994,,,,,,,4,,Built-in, 147.98  ,Flat roof covered with asphalt roofing,
266,Yes,199500,2978,Balcony present,Shower,Yes,Resale property,"Gas-fired from 2003, in ownership",,3,,CH boiler,CH boiler,Mostly double glazed,3 ,67,2 ,,Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 90.00 per month),Yes,Yes,,Sold under reservation,Residential property with shared street entrance (apartment),,220,1955,,,,,,,10,E ,, 90.00  ,Flat roof covered with asphalt roofing,
267,No,795000,5064,Balcony present,"Bath, 2 showers and toilet",No,Resale property,HR Combiketel (gas-fired combination boiler from 2021),B  ,9,Mechanical ventilation and passive ventilation system,CH boiler,CH boiler,Completely insulated,"March 2, 2022",157,1 ,Alongside busy road and in center,No,2 bathrooms and 2 separate toilets,4 rooms (3 bedrooms),2,No,Yes,No,Protected townscape or village view (permit needed for alterations),Available,Upstairs apartment (apartment),"Paid parking, public parking and resident's parking permits",549,1909,,,,,,,,,,,Gable roof covered with roof tiles,
268,Yes,240000,3529,Balcony present,Toilet,Yes,Resale property,"Intergas (gas-fired combination boiler from 2021, in ownership)",D  ,2,"Outdoor awning, passive ventilation system and TV via cable",CH boiler and partial floor heating,CH boiler,Double glazing,2 ,68,1 ,In residential district,Yes,1 bathroom,2 rooms (1 bedroom),1,Yes (€ 100.00 per month),Yes,Yes,,Available,Apartment with shared street entrance (apartment),Public parking,224,1957,,,,,,,5,,Built-in, 100.00  ,Flat roof covered with asphalt roofing,
269,Yes,139500,4227,French balcony present,Shower and toilet,Yes,Resale property,,E  ,,Elevator and TV via cable,Communal central heating,Electrical boiler (rental),Partly double glazed,0,33,2 ,Unobstructed surrounding view,Yes,1 bathroom,1 room (1 bedroom),1,Yes (€ 145.48 per month),Yes,Yes,With carpets and curtains,Available,Galleried apartment (apartment),Parking on private property,112,1960,,,,,,,,,, 145.48  ,Flat roof covered with asphalt roofing,
270,Yes,650000,5242,Balcony present,"Bath, 2 showers and toilet",Yes,Resale property,"Remeha Avanta HR-107 (gas-fired combination boiler from 2009, in ownership)",A  ,9,"Elevator, mechanical ventilation, sliding door and TV via cable",CH boiler,CH boiler,,5 ,124,2 ,Alongside busy road and in center,Yes,2 bathrooms and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 207.14 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations),Available,Apartment with shared street entrance (apartment),Parking on gated property,385,1991,,,,,,,3,,Storage box, 207.14  ,Flat roof covered with asphalt roofing,
271,Yes,485000,5160,,"Bath, shower and toilet",Yes,Resale property,"Vaillant (gas-fired combination boiler from 2011, in ownership)",C  ,,Solar panels,CH boiler,CH boiler,Double glazing,"March 11, 2022",94,Grou ,Alongside a quiet road and in residential district,No,1 bathroom,4 rooms (2 bedrooms),1,Yes (€ 58.33 per month),Yes,No,,Available,Ground-floor apartment (apartment),Public parking,355,1939,"86 m² (10,78 meter deep and 8 meter broad)",Back garden and front garden,Located at the northwest accessible via the rear,,,,4,,Detached brick storage, 58.33  ,Gable roof covered with roof tiles,
272,No,450000,5172,,,No,Resale property,"2021, to rent",A  ,4,TV via cable,CH boiler,CH boiler,Mostly double glazed,"March 11, 2022",87,Grou ,In center and in residential district,No,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),2,No,No,No,,Available,Ground-floor apartment (apartment),Paid parking and resident's parking permits,325,1913,,Patio/atrium,Located at the east,,,,,,,,Flat roof covered with asphalt roofing,
273,,800000,3226,Balcony present,Bath and shower,,Resale property,"CR (gas-fired from 1981, in ownership)",E  ,7,Skylight,CH boiler,CH boiler,No insulation,4 ,248,,Alongside busy road,,1 bathroom and 2 separate toilets,7 rooms (5 bedrooms),3,,,,Protected townscape or village view (permit needed for alterations),Available,,"Paid parking, public parking and resident's parking permits",1020,1907,"46 m² (7,32 meter deep and 6,24 meter broad)",Back garden and front garden,Located at the northwest,"Desirable residence/villa, row house",12 ,,3,,Detached brick storage,,Flat roof,175
274,Yes,199000,3685,Balcony present,Shower,Yes,Resale property,,E  ,3,,Communal central heating,Electrical boiler,Partly double glazed,2 ,54,6 ,In residential district and unobstructed surrounding view,Yes,1 bathroom and 1 separate toilet,2 rooms (1 bedroom),1,Yes (€ 230.00 per month),Yes,Yes,With carpets and curtains,Sold under reservation,Galleried apartment (apartment),Parking on private property,170,1962,,,,,,,5,,Built-in, 230.00  ,Flat roof covered with asphalt roofing,
275,Yes,450000,3846,Roof terrace present,Bath and shower,Yes,Resale property,"Intergas Kompakt HRE (gas-fired from 2011, in ownership)",,39,Electricity,CH boiler,CH boiler,Double glazing and completely insulated,2 ,117,Grou ,Alongside a quiet road and in residential district,Yes,1 bathroom and 1 separate toilet,4 rooms (2 bedrooms),2,Yes (€ 157.43 per month),Yes,Yes,Partly furnished with carpets and curtains,Sold under reservation,Ground-floor + upstairs apartment (apartment),Parking garage,373,2001,,Sun terrace,Located at the southeast accessible via the rear,,,,22,B ,Detached wooden storage, 157.43  ,Flat roof covered with asphalt roofing,
276,Yes,995000,4738,Balcony present,Bath and shower,Yes,Resale property,,A  ,30,Balanced ventilation system and mechanical ventilation,District heating,District heating,Completely insulated,2 ,210,3 ,In residential district,Yes,2 bathrooms and 2 separate toilets,5 rooms (3 bedrooms),2,Yes (€ 290.00 per month),Yes,Yes,Monumental building,Available,Maisonnette (apartment),Public parking and parking garage,863,2021,,,,,,Underground parking,6,,Built-in, 290.00  ,Gable roof,
277,Yes,275000,3090,Balcony present,,Yes,Resale property,"Intergas (gas-fired combination boiler from 2016, in ownership)",B  ,7,Mechanical ventilation and TV via cable,CH boiler,CH boiler,Double glazing,6 ,89,3 ,Alongside a quiet road and in residential district,No,1 separate toilet,3 rooms (2 bedrooms),2,Yes (€ 100.00 per month),Yes,Yes,,Sold under reservation,Maisonnette (apartment),Public parking,286,,,,,,,,5,,Built-in, 100.00  ,Flat roof covered with asphalt roofing,
278,Yes,465000,5167,,,Yes,Resale property,,,,,Complete floor heating,Central facility and district heating,"Roof insulation, insulated walls and floor insulation","March 12, 2022",90,14 ,"Alongside busy road, alongside park and unobstructed surrounding view",Yes,,3 rooms (2 bedrooms),1,Yes (€ 296.24 per month),Yes,Yes,,Available,Mezzanine (apartment),,234,,,,,,7 ,Parking place,,A ,Storage box, 296.24  ,,
279,,445000,4406,,Bath and toilet,,Resale property,,A  ,,Electricity,District heating,District heating,Energy efficient window and completely insulated,3 ,101,,In residential district,,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),2,,,,,Sold under reservation,,Parking on private property and public parking,360,2002,"73 m² (11,5 meter deep and 6,36 meter broad)",Back garden,Located at the southwest accessible via the rear,"Single-family home, corner house (residential property facing inner courtyard)",,,8,,Detached brick storage,,Gable roof covered with asphalt roofing and roof tiles,140
280,Yes,179000,4163,Roof terrace present,Shower,Yes,Resale property,"Nefit (gas-fired combination boiler from 2021, in ownership)",G  ,19,Electricity,CH boiler,CH boiler,Double glazing,7 ,43,4 ,In residential district,Yes,1 bathroom and 1 separate toilet,2 rooms (1 bedroom),1,Yes (€ 129.00 per month),Yes,Yes,,Sold under reservation,Apartment with shared street entrance (apartment),Public parking,104,1960,,Sun terrace,Located at the southwest,,,,6,,Storage box, 129.00  ,Flat roof covered with asphalt roofing,
281,Yes,1070000,7279,Balcony present,Bath and 2 toilets,Yes,New property,,,21,Electrical door,"Complete floor heating, heat recovery unit and heat pump",Electrical boiler,"Roof insulation, double glazing, energy efficient window, insulated walls, floor insulation and completely insulated",6+ ,147,2 ,"On the edge of a forest, alongside park, alongside a quiet road, In wooded surroundings, in residential district and unobstructed surrounding view",Yes,2 bathrooms and 1 separate toilet,3 rooms (2 bedrooms),1,Yes,Yes,Yes,Protected townscape or village view (permit needed for alterations),Available,Upstairs apartment (apartment),Parking garage,500,2022,,,,,,"Built-in, underground parking and parking place",7,,Storage box,,Combination roof,
282,Yes,439000,4824,,Shower and toilet,Yes,Resale property,"Vaillant HR (gas-fired combination boiler from 2006, in ownership)",A  ,,Mechanical ventilation and TV via cable,CH boiler,CH boiler,Double glazing,2 ,91,Grou ,"Alongside a quiet road, in residential district and unobstructed surrounding view",No,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 100.00 per month),Yes,Yes,Partly furnished with carpets and curtains,Under offer,Ground-floor apartment (apartment),"Paid parking, public parking and resident's parking permits",342,1926,"88 m² (10,92 meter deep and 8,09 meter broad)",Back garden,Located at the southeast,,,,10,,Detached wooden storage, 100.00  ,Flat roof covered with asphalt roofing,
283,No,315000,3938,,Bath and toilet,Yes,Resale property,"Intergas (gas-fired combination boiler from 2005, in ownership)",C  ,4,,CH boiler,CH boiler,,4 ,80,Grou ,,No,1 bathroom,3 rooms (2 bedrooms),2,No,Yes,No,Protected townscape or village view (permit needed for alterations) and partly furnished with carpets and curtains,Available,Ground-floor apartment (apartment),Resident's parking permits,300,1907,"14 m² (5,2 meter deep and 2,65 meter broad)",Back garden,Located at the southwest,,,,,,, 20.00  ,Combination roof,
284,No,369000,4011,,Shower,Yes,Resale property,"Gas-fired combination boiler from 2018, in ownership",,,TV via cable,CH boiler,CH boiler,Mostly double glazed,"March 1, 2022",92,Grou ,Alongside a quiet road and in residential district,No,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 75.00 per month),Yes,Yes,Renovation project,Available,Ground-floor apartment (apartment),Resident's parking permits,365,1932,84 m² (12 meter deep and 7 meter broad),Back garden and front garden,Located at the northwest,,1 ,,3,G ,Detached brick storage, 75.00  ,,
285,Yes,210000,2917,Balcony present,,Yes,Resale property,,D  ,7,,Communal central heating,CH boiler,Double glazing,8 ,72,3 ,In residential district,Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 335.00 per month),Yes,Yes,,Under offer,Apartment with shared street entrance (apartment),Public parking,242,1957,,,,,1 ,,8,,Built-in, 335.00  ,Flat roof covered with asphalt roofing,
286,Yes,225000,2679,Balcony present,Shower,Yes,Resale property,,E  ,11,Electricity,Communal central heating,Electrical boiler,Partly double glazed,2 ,84,7 ,In residential district and unobstructed surrounding view,No,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 143.00 per month),Yes,Yes,Partly furnished with carpets and curtains,Sold under reservation,Galleried apartment (apartment),Parking on gated property and public parking,265,1966,,,,,,,7,,Storage box, 143.00  ,Flat roof covered with asphalt roofing,
287,,499000,4798,Balcony present,Shower,,New property,,,,Elevator and mechanical ventilation,District heating,District heating,Completely insulated,3 ,104,,In residential district,,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,,,,,Available,Upstairs apartment (apartment),Paid parking and public parking,291,2024,,,,,,,,A ,,,,
288,Yes,349500,3799,Balcony present,Shower and toilet,Yes,Resale property,"Gas-fired combination boiler, in ownership",D  ,4,,CH boiler,CH boiler,,5 ,92,3 ,"Alongside busy road, in residential district and unobstructed surrounding view",Yes,1 bathroom,4 rooms (3 bedrooms),1,Yes (€ 190.00 per month),Yes,Yes,,Sold under reservation,Apartment with shared street entrance (apartment),"Paid parking, public parking and resident's parking permits",305,1956,,,,,,,7,,Built-in, 190.00  ,Flat roof,
289,Yes,289500,4021,,,Yes,Resale property,,,,,,,,"March 7, 2022",72,,,Yes,,4 rooms (3 bedrooms),1,Yes (€ 6.00 per month),Yes,Yes,,Available,Apartment with shared street entrance,,200,,,,,,,,,G ,, 6.00  ,,
290,Yes,445000,4363,Balcony present,,Yes,Resale property,In ownership,B 1.30  ,9,"Elevator, mechanical ventilation and TV via cable",CH boiler,CH boiler,Completely insulated,6 ,102,4 ,"Alongside busy road, alongside a quiet road and in residential district",Yes,1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 229.28 per month),Yes,Yes,,Sold under reservation,Apartment with shared street entrance (apartment),"Paid parking, public parking and parking garage",265,2000,,,,,3 ,Parking place,4,,Built-in, 229.28  ,Flat roof,
291,Yes,599000,4131,Balcony present,Toilet,Yes,Resale property,"Gas-fired combination boiler from 2021, in ownership",A  ,12,Mechanical ventilation and TV via cable,CH boiler and complete floor heating,CH boiler,"Roof insulation, partly double glazed, insulated walls and floor insulation",2 ,145,2 ,Alongside busy road and in residential district,Yes,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),2,Yes,Yes,Yes,,Available,Upstairs apartment (apartment),Resident's parking permits,472,,,,,,,,,,,,Flat roof covered with asphalt roofing,
292,Yes,215000,2867,Balcony present,Shower,Yes,Resale property,"Remeha (gas-fired combination boiler from 2011, in ownership)",F  ,3,Flue and TV via cable,CH boiler,CH boiler,Partly double glazed,3 ,75,2 ,Alongside a quiet road,Yes,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 60.00 per month),Yes,Yes,Partly furnished with carpets and curtains,Sold under reservation,Upstairs apartment (apartment with open entrance to street),Paid parking and public parking,260,1936,,,,,,,,,, 60.00  ,Flat roof covered with asphalt roofing,
293,Yes,500000,4464,,,Yes,Resale property,"REMEHA (gas-fired combination boiler from 2020, in ownership)",D  ,10,,CH boiler,CH boiler,Double glazing,3 ,112,,Alongside a quiet road and in residential district,No,,6 rooms (4 bedrooms),3,Yes (€ 100.00 per month),Yes,Yes,,Available,Upstairs apartment (apartment),"Paid parking, public parking and resident's parking permits",397,,,,,,,,,,, 100.00  ,,
294,,540000,4252,French balcony present,"Steam cabin, bath and toilet",,Resale property,,A  ,,Electricity,District heating and partial floor heating,Central facility,Completely insulated,2 ,127,,In residential district and unobstructed surrounding view,,1 bathroom and 1 separate toilet,6 rooms (4 bedrooms),3,,,,,Available,,Public parking,399,2000,"57 m² (11,88 meter deep and 5,4 meter broad)",Back garden,Located at the northwest accessible via the rear,"Single-family home, row house",,,7,,Detached wooden storage,,Shed roof covered with roof tiles,134
295,Yes,285000,5700,,,Yes,Resale property,"Remeha Avanta (gas-fired combination boiler from 2007, in ownership)",E  ,,"Mechanical ventilation, flue and TV via cable",CH boiler,CH boiler,Mostly double glazed and floor insulation,3 ,50,Grou ,"6 m² (2 meter deep and 2,9 meter broad)",No,1 separate toilet,2 rooms (1 bedroom),1,Yes (€ 45.00 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations),Sold under reservation,Ground-floor apartment (apartment),Paid parking and resident's parking permits,210,1906,,Location,,,,,,,, 45.00  ,Hipped roof covered with roof tiles,
296,Yes,275000,3056,Balcony present,Shower,Yes,Resale property,,E  ,9,Electricity,Communal central heating,Electrical boiler (rental),,4 ,90,3 ,In residential district,Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 257.00 per month),Yes,Yes,,Available,Galleried apartment (apartment),Public parking,313,1966,,,,,,,6,,Storage box, 257.00  ,Flat roof,
297,No,595000,4508,Roof terrace present,2 showers and 2 toilets,No,Resale property,,,10,TV via cable,,,,5 ,132,1 ,Alongside busy road and in residential district,No,2 bathrooms and 1 separate toilet,5 rooms (4 bedrooms),2,No,No,No,,Available,Upstairs apartment (apartment),,415,,,,,,,,,G ,,,Gable roof covered with roof tiles,
298,Yes,350000,4861,,Bath and shower,Yes,Resale property,"Intergas Kombi HRE (gas-fired combination boiler from 2021, lease)",C  ,,TV via cable,CH boiler,CH boiler,Double glazing,"March 4, 2022",72,Grou ,Alongside a quiet road and in residential district,Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 90.00 per month),Yes,Yes,,Available,Ground-floor apartment (apartment),,215,,84 m² (12 meter deep and 7 meter broad),Back garden,Located at the southeast,,,,,,Detached wooden storage, 90.00  ,Flat roof covered with asphalt roofing,
299,Yes,950000,7037,,Bath,Yes,New property,,,9,Electricity and heating,"Complete floor heating, heat recovery unit and heat pump",CH boiler,Energy efficient window and completely insulated,6+ ,135,2 ,Alongside a quiet road and in residential district,Yes,1 bathroom and 2 separate toilets,5 rooms (2 bedrooms),2,Yes (€ 240.00 per month),Yes,Yes,,Available,Maisonnette,Parking on gated property and parking on private property,537,2022,,Sun terrace,,,54 ,Parking place,5,,Built-in, 240.00  ,,
300,No,250000,3968,,Shower,No,Resale property,"Gas-fired combination boiler, in ownership",D  ,,Outdoor awning and TV via cable,CH boiler,CH boiler,Completely insulated,"March 8, 2022",63,Grou ,Alongside busy road and in residential district,No,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 20.00 per month),Yes,No,,Available,Ground-floor apartment (apartment with open entrance to street),"Paid parking, public parking and resident's parking permits",273,1926,"30 m² (5,94 meter deep and 7,49 meter broad)",Back garden,Located at the southeast,,,,16,,Attached wooden storage, 20.00  ,Flat roof,
